"calc1","vetorial","lpt","p1","ic","lp1","calc2","md","p2","classica","lp2","grafos","cra"
5.6,7.5,9.1,8,8.4,8.7,NA,9.2,7.7,9.6,8.6,7.2,8.10987654320988
6.7,8.5,8.6,7.1,7.7,7.6,NA,5,5.7,7.8,8,7,6.97582417582418
7,5.6,6.5,7.3,7.5,8.5,NA,5.3,5.6,7,8.1,7.9,6.05728155339806
NA,7.3,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,7.76666666666667
5.5,7,7.4,6.8,8.6,6.3,NA,6.7,7.9,7.1,9,6.1,7.69382716049383
6.6,5.9,8.3,9.1,9.5,8.8,NA,6.1,6.8,7.3,9,5.3,6.72289156626506
9.1,7.2,5,7.9,8.8,7.9,NA,8.5,7.6,8.5,9.2,7.7,7.53333333333333
6.7,8.4,7.1,7.1,7.7,6,NA,7.2,6.3,7.4,8.5,5.6,7.74074074074074
NA,6.1,NA,NA,NA,NA,3,NA,8.1,5.5,NA,8.9,6.58076923076923
5.7,8.7,7.9,7.3,8.4,7.9,NA,5,8.6,6.3,9.1,7.3,6.74516129032258
8.3,7.2,8.6,8.6,9.2,8,NA,8.2,9.5,7.6,9.3,8.2,8.51679012345679
8.2,7.5,8.8,7.1,8.3,7.6,NA,6.7,5.5,6.5,8.6,7,7.19036144578313
5,7.2,9.7,6.3,9,7.7,5,NA,6.6,8.2,8,NA,7.5625
5.8,7,8.3,7,7.7,7,NA,7.3,8.1,5.5,9.3,7,7.20864197530864
6.7,7.5,8.6,7,8,6.8,NA,7.7,8,5.8,9.3,6.2,7.58888888888889
5.6,7.2,8.1,7,8.8,8.4,NA,6.8,7.6,8.9,9.7,7,7.21325301204819
8.5,8.5,8.8,7,9,9.1,NA,5.6,7.8,8.2,8.7,8.6,7.94444444444444
5.4,7.5,8.1,7.2,7.1,7,NA,6.2,7.8,5.7,8.1,5.1,6.02718446601942
10,9.6,8.5,9.3,7.9,9.1,NA,7.3,7.3,7.6,8.4,8.2,7.60197530864198
7.3,5.9,8.9,8.6,7.7,8.7,NA,5.9,9.3,7,8.7,7,7.16144578313253
7,7.7,8.3,5.8,7.2,7.9,NA,7,7.4,7,8.6,7,7.61481481481481
NA,6.4,NA,NA,NA,NA,NA,7,7.9,7.3,8.7,9.4,7.98760563380282
7.2,7,7.7,5.2,7.9,8.6,NA,9.3,7,6.1,8.4,5,6.80947368421053
7,7.4,7.8,9.5,6.6,9.6,NA,5.7,8.2,7,8.7,7.8,7.42727272727273
7.3,7.3,8.1,8.3,7.5,7.5,NA,7.1,7.5,6.4,9.5,5.4,7.20963855421687
8.7,8.6,10,9,9.1,8.6,8.4,8.3,8.8,7.9,9.4,8.2,8.47764705882353
5.4,5.2,8,8.9,8.2,8.2,NA,5.8,8.5,5.2,8.8,8.4,6.94367816091954
7,5.6,7,7.7,7,8.1,6.2,7.3,8.2,7.7,8.9,5.4,6.85172413793103
6.2,7.2,7.8,8.4,6.2,8.2,NA,6,7.6,6.5,7.6,7.8,6.98722222222222
8.6,10,9.8,7.9,9.6,8.3,8.7,8.8,9.5,8.6,9.7,9.2,9.09058823529412
NA,NA,7.3,7,7.8,7.8,7,7,7.1,NA,7.1,5.1,7.22467532467532
8.2,9.7,8.8,9,8.6,9.4,NA,6.5,7.5,8.2,8.8,9.4,8.05308641975309
5.5,5.4,8.2,9,9,9,NA,7.8,8.4,8.2,8.9,7.6,8.1
7.6,9.2,7,7.6,7.9,8.5,NA,8.8,8.2,8.7,9.4,7.8,8.08345679012346
7.8,6.1,8.3,6.8,8.2,7.1,8,6.3,8.9,8.5,9,7,7.28351648351648
8.2,8.5,8.8,9,7.8,8.1,NA,5.8,8.7,7,9.6,8.1,8.27777777777778
7.1,7.6,8.5,6.6,9.3,9.1,NA,10,8.2,7.3,8.7,7.2,7.87529411764706
6.4,7,7.5,6,7.6,8.9,NA,7.2,5.9,5.7,5.2,6.4,6.89655172413793
7,7.2,5.7,7.6,6.2,7.6,NA,8.4,6.1,8.3,8.7,7.1,6.74252873563218
7.7,7,9,5,7.6,5.4,NA,5,8.5,7.7,9.6,5.3,7.53529411764706
5.2,8.8,9.3,5,8.5,5.1,5,5.8,7.1,8.7,8.2,5.4,7.20574712643678
7,7.3,7.7,7,8.1,6.5,NA,6.2,5,5.2,7.6,6.3,6.8551724137931
8,9,8.3,7.9,7.9,7.8,NA,5,7.4,5,8.7,5.4,6.20714285714286
6.7,8.3,7.9,9.1,8.2,8.2,NA,7.9,7,7.2,8.9,7,8.07831325301205
NA,8.6,NA,NA,NA,NA,9,NA,NA,8,NA,NA,8.40232558139535
6.1,9.4,9.2,9.1,9.3,9.3,5.6,8.2,9,7.3,9.6,8.5,7.80823529411765
7.1,7.5,8.3,7.9,9.3,9.1,NA,7.5,9.2,8.3,9.2,8.3,7.89876543209876
5,7.4,7,6.6,7.7,7.2,NA,5.7,7.2,5.9,7.8,5.8,6.65402298850575
6.7,7.1,9,6,8.9,5.5,NA,7,7,6.1,8.3,7.3,7.19759036144578
NA,7.5,6.8,7,8,7.2,NA,NA,8,7,8.2,NA,6.82307692307692
7.8,8.5,9,7.3,7.4,8.5,NA,7.2,9.4,8.3,9.4,9.3,8.4641975308642
NA,7.1,NA,NA,NA,NA,6.8,NA,NA,6.1,NA,8.6,7.32394366197183
6.3,7,9.6,8.3,8.6,8.8,6.7,8.8,9.6,7.6,9.5,8.4,8.85882352941177
6.1,8.2,8.3,5.1,7.2,7.2,NA,6.4,6.5,7.6,8.4,7,7.84216867469879
7.5,7.5,8.9,7.5,7.9,8.2,5,5.6,7,7.1,7.9,5.1,6.15882352941177
5,8.2,7.7,7.6,5.2,7.3,NA,6.1,7.7,5.8,8.4,7,7.00120481927711
5.6,5.5,7,7,7,6.4,NA,5.7,7.1,8.3,8,5.6,6.43258426966292
5,5.3,7,5,7,7.1,NA,7.3,5.5,7.1,7.2,5.5,5.20608695652174
6.4,7.2,7,8.5,6.2,7,NA,7.8,7.7,5.3,9,7,5.80794392523365
NA,6.6,NA,NA,NA,NA,5.4,NA,NA,7,NA,8.2,7.25238095238095
6.1,5,7.1,5.4,7.5,5.6,NA,5.1,7,5,8,5.7,7.01111111111111
6.6,9.1,9,5,7.9,5.3,5,5.4,8.3,5.1,8.9,7.1,6.73058823529412
NA,7,NA,NA,NA,NA,5.4,NA,NA,7.2,NA,8.6,8.06865671641791
7,7.4,7.6,7.4,8.4,8.9,NA,7.3,8.3,7,9.4,8.7,8.09382716049383
7,7.1,8.3,7.6,5.8,8.6,NA,7.4,7.1,5.1,9.1,5.7,7.10903614457831
7.5,7,6.5,7.3,9.2,5.9,8.2,5.7,7.1,7,8,6.9,7.07931034482759
NA,9.5,NA,NA,NA,NA,8.3,NA,NA,8.7,NA,9.4,8.95820895522388
6.6,8.7,7.9,8.4,7.5,8.9,8.3,7.6,7.5,5,9.2,7.2,6.3873786407767
8,8.5,9.2,9.3,8.6,8.7,NA,7.3,8.7,6.6,9.6,8.9,8.60320987654321
5,5,7,5.9,8.2,7.7,NA,7,5.9,6.1,5.6,7,6.27741935483871
8.4,8.9,10,9.3,9.6,9.7,7,6.8,8.5,7,9.6,9.1,6.13451327433628
5,5.7,9.1,8.1,8.3,7.2,NA,6.8,9,7.5,9.1,6,7.48
6.2,7,8,9,9.5,9.3,NA,6,6.4,5,8.9,8,6.95287356321839
8.3,7.6,8,7,7.1,7.8,NA,5,8.3,5.3,9.5,7.5,6.334375
5.6,5.8,7.3,6.7,8.1,7.1,5,7.2,7.4,6.6,8.8,6.7,6.83406593406593
NA,7.5,NA,NA,NA,NA,6.7,NA,NA,7.3,NA,7.4,8.21641791044776
NA,8.7,NA,NA,NA,NA,8,NA,NA,7,NA,NA,8.14166666666667
9.7,5.7,9.1,7.2,8.3,7.8,5,7.9,7.7,8.1,7.7,8.4,7.24719101123596
NA,9.7,8,9.4,10,9.8,NA,NA,9.3,8.5,9,NA,8.56756756756757
5,7.3,7.2,8.3,8.2,8.3,NA,7,7.3,5.7,7.5,7.5,7.16
8.3,9.5,9,9.5,8.7,8.1,NA,8.2,8.3,8.1,8.2,8.8,8.56864197530864
NA,6.4,NA,NA,NA,5.4,NA,NA,NA,7,7,6.5,4.98834951456311
7,6.7,7.8,6.3,8.1,8.2,NA,6.3,7.6,5,8.4,8.2,7.51604938271605
7.4,5,7.5,6.5,7.3,6.3,5.4,5,7.3,5.8,7.8,6.2,6.11627906976744
7.5,8.3,7.1,8.1,8.8,8.8,NA,6,7,6,7.9,7.2,8.18888888888889
7.2,8.4,9.5,8.9,8.1,9.6,5.8,9.6,9,7,9.3,8.8,8.52235294117647
NA,7.1,8.3,NA,NA,NA,NA,NA,7.6,7.2,9,6.5,7.85774647887324
7.8,9.5,8.3,9.2,9.2,9.3,NA,9.2,8.4,5.4,8.2,9.3,8.62222222222222
8.8,10,8.4,9.8,9.3,9.6,7,8.1,9.3,8.6,9.1,9.1,8.77176470588235
9.3,9.2,8.4,8,8.8,8.5,NA,7.2,7,5.1,8.1,7,7.83012048192771
5.3,5,7.8,5.1,5.8,5.7,NA,7.5,5.7,5.1,5,5.7,6.11714285714286
7,8.7,9.6,8.6,9.3,8.7,7.5,7.6,9.4,7.5,9.7,9.5,8.66117647058824
7.5,8.1,7.7,8.2,6.2,8.8,NA,7,8.5,7,9.3,8.1,7.94444444444444
5.1,7.2,7.8,7.7,7,8.7,NA,6.8,6.3,5.5,7.9,5,6.3
8.2,8.1,7.8,8.7,8.4,9.1,NA,6.8,7.1,7.2,9,8.6,7.57903614457831
8.8,8,8.6,5.3,7.9,8,NA,7.3,5.5,9,8.5,8.7,7.0483908045977
NA,7.5,8.3,NA,NA,NA,7.7,NA,NA,NA,NA,NA,7.08571428571429
9,9.3,8.3,8,8,8,NA,7.4,7.2,7.5,8.6,7.2,7.48915662650602
6.4,8.8,8.8,5.3,7.9,5,NA,6.8,7.1,7.9,9,7,7.46
7,7.5,7.3,5,7.9,7,NA,6,5.6,5,7,5,5.8009900990099
7.8,9.3,10,7,8.1,7.5,NA,6.2,8,7,9,7.1,7.57349397590361
5.7,6.6,7,7.2,7.1,7,NA,6,7.2,5.4,8,5.3,5.94854368932039
7.6,7,7.8,8.3,5.7,7,NA,5.8,9,6.4,9.2,7.2,7.26666666666667
7,7.3,8.1,8,7.2,8.7,NA,6,6.5,6.4,7.8,7.3,7.21686746987952
10,9.1,8.8,8.7,9.1,8.7,NA,8.5,8.9,9.1,9.5,9.3,8.68641975308642
5.8,7.2,10,8.2,7.4,8.5,7.2,6.8,7.4,7,9.3,6.5,7.01058823529412
7,6.3,7.2,5.3,7.6,7.9,5,6.3,7.7,7.8,5,6.3,7.1247191011236
7.2,9.3,9.3,9.2,8.8,8,NA,7.8,8.6,7.6,9.3,7.6,8.29759036144578
NA,6.7,NA,NA,NA,NA,NA,8.3,8.1,8.3,8.8,8.8,8.15239436619718
NA,8.9,NA,NA,NA,NA,5.1,NA,NA,6.6,NA,NA,6.68214285714286
5.6,6.5,7.6,5.7,6.5,5.7,NA,5.9,7,5.4,7.8,5.3,5.35673076923077
5.1,7,9.7,6.5,8.1,7.2,NA,5.7,7.7,7,8.4,5,7.95802469135803
7,5.6,7.5,5.6,8,7,5.6,6,7.7,7.1,8.8,7,7.05862068965517
NA,7.1,NA,NA,NA,NA,6.4,NA,NA,6,NA,8.3,6.01058823529412
9.5,7,8.6,7.2,8.2,7.6,NA,5.5,7.5,8.6,9.2,6.4,6.49052631578947
5.4,5.6,8.2,7.7,7,7.8,NA,7.8,7.3,7.1,8.9,7,6.65434782608696
9.2,10,8.3,8.6,8.4,8.9,7.6,8.6,8.8,7.5,8.5,9.2,8.77294117647059
5.4,5.2,7,5.5,7,5,NA,5,5,5.5,5.1,5.4,5.03781512605042
7.2,7.8,8.5,7.7,8.4,8.3,5,7.4,9,7.7,9.6,7.4,7.72588235294118
9.2,9.8,7.3,9.2,6.9,9,NA,9.3,7,8.7,8.3,9.4,8.72543209876543
6.5,7.5,7.8,7.4,7.6,7.4,NA,6.4,7,6.3,8.3,7,7.06823529411765
8.3,8.6,8.1,8.5,7.7,9.2,NA,7.1,7.1,7.3,9.2,8.2,7.82098765432099
6.3,8.7,8.7,7.9,8.3,7,NA,7,7.3,7.3,8.6,6.6,7.55421686746988
8.4,8.2,9,8.2,7.8,8.3,NA,7.9,8.7,5.3,9,8.7,7.16913580246914
6.5,7,8.6,8.1,8.6,9,NA,7.8,8,5,8.8,7.2,8.00617283950617
8.7,8.7,9,7.3,8.7,8.7,NA,8.1,8.9,7.8,9.7,9,8.28024691358025
NA,6.7,NA,NA,NA,NA,5,NA,NA,NA,NA,6.3,6.40196078431373
5.6,7.1,8,5,8.5,5,8.2,5.4,7.2,7,7.2,6,6.46703296703297
7,7,8.1,7.1,8.6,8.6,NA,8.1,9.1,8.7,9,7.4,7.5
7.8,9.1,7.3,5.5,9.5,9.8,NA,5.3,8.9,7,8.9,8.1,7.5609756097561
8.7,8.3,9.5,9.9,8.7,7.7,NA,6.5,9,8,9.3,8.9,8.6079012345679
8.5,8.7,8,6.3,9.6,8.2,NA,8.7,5.2,8,7.6,7.5,7.90617283950617
NA,8.7,NA,NA,NA,NA,9.3,NA,NA,7,NA,NA,7.75217391304348
NA,7.1,NA,NA,NA,NA,7,NA,NA,6.2,NA,7.5,7.63898305084746
NA,5,NA,NA,NA,NA,7.2,NA,NA,5,NA,5.8,5.85949367088608
5.7,8.4,8.6,7.7,7.8,7.1,NA,8,8.6,5.4,9.1,6.7,7.69876543209877
7.2,7,8,8.3,8.8,8.7,NA,8.2,8.6,6.97,9,7.2,8.10771084337349
7,7.8,7.6,8.2,9.2,9.6,NA,7.3,7.3,7,8.6,6.3,8.31604938271605
5.75,7.1,9.3,9.5,9.2,9.6,NA,8.1,8.2,6,9.6,7.4,8.49753086419753
8.3,6.9,8.8,7.2,8.2,7.4,NA,5.1,7.2,7.3,8,6.4,6.56276595744681
7,6.9,8.5,7.3,7.7,7.9,NA,7.3,5,5,7,6.2,7.11011235955056
NA,8.6,NA,NA,NA,NA,5.1,NA,7,NA,8.4,8.5,7.85967741935484
9.3,8.5,7.5,7.5,8.7,7.8,NA,8.8,8.1,7,8.8,7,7.5037037037037
7.2,8.6,9.5,6.1,7.3,8.6,NA,6.9,6.1,7.4,8.4,5.4,7.83456790123457
NA,5,NA,NA,NA,NA,5,NA,NA,7.4,NA,8.2,6.71066666666667
6.8,7.3,9.5,5.1,8.2,5.4,NA,7.9,8.6,7.3,8.7,7.1,7.72409638554217
7,5.6,8.4,6.1,7.9,7.5,NA,5,8.5,5.8,8.8,7.3,7.34712643678161
7.3,7.1,8.3,7,7.7,5.8,7.2,6.5,7.4,7,9.2,7.7,7.08315789473684
5.3,6.9,8.8,8.1,8,8.2,NA,NA,8.8,7,8.2,NA,7.23461538461538
6.1,5.4,9.2,7,8.5,7.9,NA,7.7,7.4,5.9,8.2,5.2,7.57176470588235
5.1,7.3,8.5,7,8.9,7.4,NA,5.8,7.2,5.1,7.4,5.7,7.62530120481928
6.3,8.2,7.3,6.6,8.4,5.9,NA,7.7,6.6,7.8,8.9,5.8,7.21481481481481
7,7,8.7,6.5,8.1,6.3,5,7,7.7,5.6,8,5,6.60481927710843
10,9.2,8,8.6,8,9.6,NA,8.2,8.3,8.6,9.4,9,7.84939759036145
NA,7.2,10,8.2,9.4,8.3,NA,7.4,7.6,7.3,9.1,9.3,7.76296296296296
7,5,7.1,7.1,7.9,7.3,NA,7.2,5.4,5,8.3,7.2,6.385
5.5,7.8,8.8,6,8.2,8,NA,9,6.9,5,8.5,8.6,8.02469135802469
8.3,9.2,7.8,8,8.9,9.2,NA,9,8.3,9,9.5,9.6,8.67456790123457
6.8,7.9,8.8,8.7,8.1,8.8,NA,6.9,9.5,5.5,8.8,7.4,8.06506024096386
NA,6.2,NA,6.7,NA,8,NA,7.4,8.4,7.9,7.3,6.6,7.21866666666667
7,5.2,7.2,8.1,7.6,7.9,NA,7.4,7.2,5,8.9,7.9,7.46
6.7,7.6,9.9,5,9.2,5.1,NA,5,7.9,8.1,8.8,6,7.88148148148148
6.2,7,8,7.3,7.8,7.1,NA,5.2,6.4,7.6,8.6,5.5,6.90963855421687
8.2,8,8.8,8.8,9.4,9.4,NA,8.5,8.4,8.1,9.6,8.1,8.65432098765432
NA,7.3,NA,NA,NA,NA,NA,5.2,8,5.8,8.2,8.6,7.38630136986301
7.7,8,9.1,8.2,8.9,8.9,NA,7,6,7.6,9.5,9.1,7.78395061728395
9.3,8.6,9.6,7.2,8.2,9.1,NA,5.4,5.9,5.1,9.6,8.5,7.25851851851852
5.8,5.8,7,7.6,7.8,9,NA,7,7.9,5,8.8,7.1,7.20123456790123
10,10,9.2,9.7,9.8,9.9,NA,10,9.9,10,9.4,9.8,9.28641975308642
7.7,7.8,8.3,8,9.5,8.8,NA,7.4,7.7,7,8.4,9.2,8.11325301204819
8.8,6.3,7.3,6.2,8.3,5.8,5,6.4,7.44,7,7.4,6.1,7.21241379310345
NA,7.3,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,7.80113636363636
5,5,7.3,7.2,7.4,8.5,NA,5.6,6.8,5,8.2,5.1,6.90588235294118
10,7.7,9.3,6.2,8.4,7,NA,7.7,8.3,8.1,8.6,7.4,7.44705882352941
5.5,5.1,7.8,8,8.7,7.6,NA,7.2,8.9,7.9,8.9,7,6.89681318681319
8.3,8.2,9.6,7,9.1,5.6,5.1,8.8,7.1,7,9.3,6.4,7.99411764705882
7.5,8.2,6,5.4,6.2,6.5,NA,8.4,7.1,5.7,8.9,7.8,6.80941176470588
7,7.1,9.6,8.4,8.2,8,9,6.8,8.8,7,9.3,8.3,7.9632183908046
5.1,7.4,8,7,7.5,7.2,NA,5,5.9,7.1,8.2,5,5.96565656565657
7.6,9.4,10,8.4,9.3,8.8,NA,7,9.4,7,9.5,7,7.85783132530121
5.8,7.3,7.3,6.2,9.2,6.7,NA,6.1,6,6.1,8.1,5.6,6.42365591397849
7.6,9.2,8.8,5,8.4,7,NA,7.7,8.6,9.6,9.1,7.7,8.26666666666667
7.3,7.8,7.1,7.1,7.8,7,NA,6.2,7,5,8.4,5.8,4.73615384615385
6.1,7.6,9.8,8,8.8,7.6,5,7,8.8,7.3,9.2,7.4,8.03218390804598
8.2,8.5,7,7.1,8.7,8.1,NA,5.8,5.5,6.8,8,7.8,7.22172839506173
7.2,5,8.8,8.4,7.8,8.4,5.4,5,6,6.4,8.2,5,6.51075268817204
8.5,7.5,9,7.8,7.8,7.4,NA,5.8,7.9,7.6,7.1,8.1,7.58265060240964
5,5.6,9.2,7.3,7.1,7,NA,9.1,9.5,7.3,7.7,8.6,7.79879518072289
8.1,8.3,9,7.8,7.9,8.2,5,8.5,9,7.3,9.2,7.8,8.21379310344828
NA,8.5,NA,NA,NA,NA,5,NA,NA,7,NA,8.1,7.79333333333333
5.4,6.4,6.5,6,5.8,8,NA,6.7,5.6,7,7.2,5.2,7.01058823529412
8.7,9.5,9.5,8.6,9.3,8.9,NA,7.6,9.2,8.1,9.3,9.3,8.81481481481481
5.7,7,7.5,7,7.7,6.4,NA,5.4,7.2,5,7.3,5,5.95504587155963
8.1,10,10,9,9,9.4,NA,6.8,9.7,7.7,9.7,7,7.88072289156627
7.7,8.2,9.3,7.9,8.5,9.5,NA,8,8,8.1,9.7,7,8.60617283950617
7.2,7.7,9,7,7.9,8.8,NA,5.3,6,7,8.9,7.5,7.37752808988764
NA,8.3,NA,NA,NA,NA,7.2,NA,NA,5.3,NA,8.4,7.93880597014925
7.3,5,9,9.2,7.4,9.4,7,6.3,7.4,7,8.9,7.4,7.34
6.2,7.7,8.3,9.7,7.6,8.2,NA,6.1,5.1,6.4,6.3,6.2,6.2781914893617
7.1,9.2,8.3,8.9,9.8,8.6,NA,9.8,8.7,7.5,8.5,7.2,8.95432098765432
7,9,7,5.7,8.6,7.6,NA,7.8,5.8,6.4,8.2,7.8,7.88024691358025
7.9,7.2,8,8.7,8.8,9.1,NA,9,8.7,8.5,8,8.2,7.99882352941176
6.8,7.3,NA,NA,NA,NA,NA,NA,NA,7.6,NA,8.1,5.33539325842697
8.3,8.3,9.3,7.3,7.8,8.3,NA,8.4,9.1,8.2,9,8.7,8.30864197530864
7.6,10,7.4,8.6,8.8,8,NA,8,7.2,5.5,8.9,7,8.10493827160494
5.1,7.5,6.8,7,8.6,7.6,NA,8.1,8.8,5.2,9.5,8.5,7.12168674698795
NA,6.7,NA,NA,NA,NA,NA,7,8.4,7.7,8.2,8.8,6.50352941176471
7.7,7.5,8.3,7.5,7.9,9,NA,7.3,7.6,8.1,8.7,8.8,8.07530864197531
5,5.6,6.4,5.3,8,8.1,NA,8.4,7,7.1,9.2,8.9,6.96592592592593
6.3,8.9,7.3,7.7,9,7.5,NA,7,5.4,5.6,8.2,7,6.3221052631579
8.5,8.7,7.6,6.9,8.4,6.2,NA,8.1,7,7.1,8.8,7,7.87951807228916
7.2,7.5,8.6,8.4,8.1,8.1,NA,8.7,7.8,6.6,8.8,7,7.94074074074074
7.3,5.1,7,8.8,9.3,9.1,NA,6,9.1,9,8.8,7,7.39404761904762
7.3,7.6,7.7,7.4,8,7,NA,5.3,8.7,7,8.2,5.2,6.95411764705882
7.2,8.2,9.1,6.2,7.1,9.3,NA,5.3,6.4,7.7,9.6,8.3,7.94938271604938
NA,8.4,8,7.4,9.8,7.7,NA,NA,8.2,7.8,8.3,NA,8.06081081081081
5.6,5.2,7.2,7,9.3,7,NA,7.1,5.4,5,7.7,6.4,6.18928571428571
7.7,5.5,9.2,8.2,8.4,7.3,NA,8.9,8.5,5.8,7.6,7.8,7.92469135802469
7.5,5.6,9.1,8.7,7.3,7.6,NA,7.6,7.2,7.4,9.1,7,7.47411764705882
8,9.5,9.2,9.3,9.6,9.4,NA,9.3,9.4,8.7,8.7,8.1,8.53373493975904
8.8,8.8,8.5,8,9.2,8.2,NA,7.5,8.2,8,8.3,5.5,8.14814814814815
7,7.3,9,9.3,8.2,7.9,NA,8,7.8,6.8,8.3,7.8,7.14096385542169
8.8,9.7,9.3,9,10,9.8,NA,9.8,9.8,8.4,9.5,10,9.06666666666667
6.1,9.2,7.5,7.8,5.2,8.4,NA,8.8,8.4,7.9,8.8,7,6.91692307692308
6.3,5,7.8,7.1,6.3,7.3,7.7,5.8,6.5,7,8.6,6.4,7.14470588235294
7.2,7.5,9.8,5,7.8,5,NA,6.6,5.4,6.2,8.1,5.6,7.64814814814815
8.5,10,8.8,9.3,9.4,9.7,NA,7.2,7.9,7.8,9.4,9.1,8.17901234567901
7.9,8.5,8,8,7,9.3,NA,7,7.3,7.5,8.3,9,7.37349397590361
7,7,8.1,6.3,8,7,NA,5.1,5.5,5,7.3,5.4,5.86990291262136
8.3,8.8,8.3,8.9,7.1,9,NA,7,9.6,6.6,9.2,7.1,7.96915662650602
5,5,7.3,5.6,5.9,5,5,5,5.3,7,7,5.1,5.95940594059406
6.3,5.2,6.1,8.7,9.7,9.6,NA,9.1,8.3,6,9.7,8.8,7.78072289156626
9,8.7,8.6,8.8,8,7.7,NA,6.4,7.6,7.3,8.2,7,8.05061728395062
9,7.2,9.3,7,8.3,7.1,NA,7.2,8,7,9,6.2,6.85393258426966
8.3,5.1,8.6,5.5,7.1,5.7,5.1,6.3,6.4,7.3,8,5.9,5.6353982300885
6.8,7.2,9.4,8.5,7.4,8.8,NA,6.4,9,7,8.3,8.5,7.65542168674699
7,7.2,7,5.8,8.5,7.4,NA,7,5.6,6.2,7.1,6,6.88470588235294
5,6.3,9.1,8.9,8.5,8.8,NA,8.4,7,7,8.4,7.5,6.6969696969697
5.6,7.1,9,8.7,9.3,8.1,NA,9.7,7.6,7,8.9,6.5,6.92470588235294
5.1,5.1,8.7,7.9,5.6,8.3,NA,5.3,7,5.9,9.1,5.1,5.66296296296296
7,7.1,9.5,7.9,8.8,8.1,NA,8,8.5,7.4,8.3,7.2,7.56172839506173
7.8,7.2,8.4,8.2,8.6,8.2,NA,7.4,5.4,5.1,8.2,5.6,7.87654320987654
7.3,6.3,7.8,7.4,8.4,8.3,NA,7.3,8.2,7.5,9.1,7.4,7.35060240963855
NA,6.9,NA,NA,NA,NA,5,NA,NA,5.3,NA,7,6.44794520547945
8.3,7,9.4,9.6,7.4,9.5,7.9,5.2,9.2,7.9,9,7,7.34712643678161
7.5,7.3,8.3,9.6,7.3,9.5,NA,5.7,7.9,6.8,8.8,7,7.38024096385542
NA,9.2,NA,NA,NA,NA,7.3,NA,NA,7.5,NA,8.2,6.27424242424242
7.5,8.3,7,8,8,8.4,5.2,6.7,8.6,7.1,8.9,6.8,6.57857142857143
10,7.2,9,9.2,9.5,9.4,NA,8.5,9.7,7.4,9.3,8.3,8.1710843373494
7,6.2,6.7,7,7.1,7,NA,6.6,7.6,5.1,7,7.1,5.83636363636364
7,5,9,5.9,6,5.4,7,7.4,7.6,7,7.7,5.7,6.33647058823529
10,7.4,8.9,7,8,7.2,NA,5.7,7.1,8.5,8.7,7.2,6.97096774193548
10,9.7,9.8,9.6,9.6,9.8,NA,10,9.3,10,9.4,8.8,9.23975903614458
7.5,9.3,9.4,8.1,9.2,8.6,6.5,8.4,9.1,7.4,9.4,7.9,8.53058823529412
